文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI
特開平01-312424,            特願平01-107128,1989/04/25,1989/12/18,家禽類の重量測定方法及びその方法を実施する為のコンベヤフック,ストルク　ピーエムティー　ビー．ヴィ．,",A22C21/00@Z,B65G17/20@E,G01G11/00@C,他,"
特開平01-293886,            特願昭63-120010,1988/05/16,1989/11/27,スキー運搬要素,アンドレ　グローンズ,",A63C11/02@A,F16B2/18@E,"
特開平01-270883,            特願昭63-100930,1988/04/22,1989/10/30,レンタルスキー用具,有限会社マコエンタープライズ,",A63C9/00@A,A63C9/00@C,"
実全平01-155479,            実願昭63-051424,1988/04/16,1989/10/25,スキー板調整台,樋口　庚平,",A63C11/04,"
特表平03-505148,            特願平01-504409,1989/04/11,1989/10/19,アクチュエータ及び通信システム,ユニスキャン　リミテッド              他,",H02J17/00@B,H04B5/00@Z,H02J50/10,"
特開平01-262882,            特願昭63-090887,1988/04/13,1989/10/19,スキー板,土橋　満              他,",A63C5/02@A,"
特開平01-248061,            特願平01-030046,1989/02/10,1989/10/03,試験キットおよび免疫リガンドの測定方法,イーストマン　コダック　カンパニー,",G01N33/531@B,"
特表平03-504005,            特願平01-503176,1989/03/15,1989/09/21,心臓機能不全治療用の新規薬剤,シエーリング　アクチエンゲゼルシヤフト,",A61K31/585,A61P9/00,C07J21/00,"
実全平01-126843,            実願昭63-022451,1988/02/24,1989/08/30,自動車用ル－フキヤリヤのアタツチメント,日産自動車販売株式会社,",B60R9/08,"
特開平01-214381,            特願平01-009630,1989/01/18,1989/08/28,スキー用安全ビンディング,マーカー　ドイッチェランド　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C9/088,"
特開平01-213827,            特願昭63-040174,1988/02/23,1989/08/28,薄膜磁気記録媒体,株式会社日立製作所,",C08G83/00,G11B5/64,G11B5/66,他,"
特表平02-500254,            特願平01-502183,1989/02/02,1989/08/24,スキービンデイング,ハーテーエム　シュポルト―　ウント　フライツァイトゲレーテ　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C7/10@B,A63C9/00@A,A63C9/00@C,他,"
特表平02-503158,            特願平01-501715,1989/02/01,1989/08/24,安全スキービンデイング,ハーテーエム　シュポルト―　ウント　フライツァイトゲレーテ　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C9/088,"
実全平01-123747,            実願昭63-007531,1988/01/23,1989/08/23,リヤ－ドア用懸垂式スキ－キヤリア,松澤　平吉,",B60R9/06,B60R9/12,"
特表平03-503120,            特願平01-502149,1989/01/23,1989/08/10,ヒトのガン細胞における新規なムチン様糖蛋白質表面抗原に特異的なモノクローナル抗体,ジョン　ミュア　キャンサー　アンド　エージング　インスティチュート　ディビジョン　オブ　ジョン　ミュア　メモリアル　ホスピタル,",A61K39/395@U,C12N5/00@B,C12N5/00,102,他,"
特開平01-199538,            特願昭63-305884,1988/12/01,1989/08/10,屠殺家禽の仕分け方法及び装置,ストルク　ピーエムティー　ビー．ヴィ,",A22C21/00@Z,B61B10/02@Z,B65G47/46@F,"
特開平01-195876,            特願昭63-302350,1988/12/01,1989/08/07,スキー板用包装材,サロモン　エス．エー．,",A63C11/02@E,"
特開平01-191675,            特願昭63-013469,1988/01/22,1989/08/01,ビール絞りカスから繊維質を得るための方法とそれによって製造された製品　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,ビンデイング　ブラウエライ　アクチエンゲゼルシヤフト,",A23L1/308,C12F3/06,A23L33/21,"
特開平01-191021,            特願昭63-305885,1988/12/01,1989/08/01,重量測定装置,ストルク　ピーエムティー　ビー．ヴィ,",G01G17/08,"
特表平02-503007,            特願平01-502143,1989/01/17,1989/07/27,抗精神病性γ‐カルボリンＮ‐オキシド,アメリカン・ホーム・プロダクツ・コーポレイション,",A61K31/435,A61K31/475,A61P25/18,他,"
特開平01-178276,            特願昭63-001797,1988/01/07,1989/07/14,スキー板　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,スヴェルドロフスキ　ナウチノ　イスレドヴァテルスキ　インスチテュート　ペレラボトキ　ドレヴェシニイ,",A63C5/06@Z,"
特開平01-160575,            特願昭62-318759,1987/12/18,1989/06/23,運動競技用具とその製造方法,菅沼　則之,",A63B49/08@Z,A63B53/00@D,A63B53/00@Z,他,"
特開平01-156649,            特願昭62-315110,1987/12/15,1989/06/20,バイオセンサ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新日本無線株式会社,",G01J5/12,G01J5/14,G01N25/48,"
特開平01-153173,            特願昭62-312125,1987/12/11,1989/06/15,スノーボード用ビンディング　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,株式会社小賀坂スキー製作所,",A63C5/00@C,A63C9/00@B,A63C9/00@C,他,"
特開平01-145837,            特願昭62-303372,1987/12/02,1989/06/07,半導体装置　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,株式会社東芝,",H01L23/28@J,H01L43/04,"
特表平03-502032,            特願昭63-509193,1988/11/18,1989/06/01,トランスポンダ,ユニスキャン　リミテッド              他,",H02J17/00@B,H04B1/59,H04B5/00@Z,他,"
実全平01-069571,            実願昭62-166536,1987/10/30,1989/05/09,スノ－ボ－ド，モノスキ－等の雪上滑走板,五十嵐工業株式会社              他,",A63C5/00@C,A63C5/03,A63C5/12@C,他,"
実全平01-068078,            実願昭62-163488,1987/10/26,1989/05/01,スノーボード及びモノスキー用ビンディング　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,五十嵐工業株式会社              他,",A63C5/00@C,A63C5/03,A63C9/00@A,他,"
特開平01-096990,            特願昭62-253544,1987/10/09,1989/04/14,印刷インダクタンス素子及びそのインダクタンス調整方法　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,沖電気工業株式会社,",H01F17/00@A,H05K1/16,"
特開平01-057631,            特願昭62-212923,1987/08/28,1989/03/03,テ－プキヤリアテ－プ及びその製造方法,沖電気工業株式会社,",H01L21/60,311@W,"
特開平01-051227,            特願昭62-207392,1987/08/22,1989/02/27,加工液槽ロック装置,ファナック株式会社,",B23H7/00,B23H11/00@A,"
特開平01-049583,            特願昭63-190510,1988/07/29,1989/02/27,スキー用安全ビンディングの前金具装置,マーカー　ドイッチェランド　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C9/088,"
特表平02-500173,            特願昭63-505433,1988/06/22,1989/02/23,盗難防止装置,ハーテーエム　シュポルト―　ウント　フライツァイトゲレーテ　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C9/081,A63C11/02@B,"
特開平01-047033,            特願昭62-203519,1987/08/18,1989/02/21,半導体装置の製造方法,沖電気工業株式会社,",H01L21/52@C,"
実全平01-013127,            実願昭62-106625,1987/07/10,1989/01/24,フイルムキヤリア,ロ－ム株式会社,",H01L21/60,311@W,"
特開平01-002601,            特願昭62-322593,1987/12/18,1989/01/06,スキー靴　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,ダイワ精工株式会社,",A43B5/04@A,"
特開昭63-292977,            特願昭62-127833,1987/05/25,1988/11/30,スキ－用のビンディング固定板,片山　晋,",A63C9/081,"
実全昭63-181339,            実願昭62-072861,1987/05/18,1988/11/22,貸しスキ－立て,青野　和久,",A47B81/00@G,A47B81/00@Z,"
特開昭63-285497,            特願昭63-108914,1988/04/29,1988/11/22,使用済核燃料輸送用キャスク,ウエスチングハウス・エレクトリック・コーポレーション,",G21F5/00@N,G21F5/00@S,G21F5/00@W,他,"
特開昭63-236392,            特願昭63-055099,1988/03/10,1988/10/03,プリント配線板,フアオ・デー・オー・アードルフ・シントリング・アクチエンゲゼルシヤフト,",H05K1/02@N,"
特開昭63-230186,            特願昭63-038448,1988/02/19,1988/09/26,スキー先端連結装置,シャルル　ウンバート,",A63C5/065,A63C5/16,A63C11/00,"
特表平01-502489,            特願昭63-503166,1988/03/08,1988/09/22,非粘着性内部表面を持った熱滅菌し得るプラスチック容器,バクスター、インターナショナル、インコーポレイテッド,",A61J1/00,333@C,A61M1/14,500,A61J1/10,333@C,他,"
特開昭63-203172,            特願昭63-024070,1988/02/05,1988/08/23,エネルギー減衰型安全締具　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,サロモン　エス．エー．,",A63C9/08@A,A63C9/085,F16B2/18@F,"
特開昭63-202050,            特願昭62-033393,1987/02/18,1988/08/22,半導体の製造方法,古河電気工業株式会社,",H01L23/50@A,H01L23/50@D,"
特開昭63-200555,            特願昭62-033687,1987/02/17,1988/08/18,半導体パツケ－ジ構造体,株式会社日立製作所,",H01L23/34@A,H01L23/52@D,"
特開昭63-195977,            特願昭62-028666,1987/02/10,1988/08/15,電気回路ユニットの接地機構,株式会社東芝,",H01R4/64@A,"
特表平01-502000,            特願昭62-506262,1988/01/27,1988/08/11,スキー用安全ビンディングの踵保持装置,マーカー　ドイッチェランド　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C9/08@A,"
特開昭63-194682,            特願昭63-016017,1988/01/28,1988/08/11,自動中心復帰用スライダーを有する安全締具の自由減摩板　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,サロモン　エス．エー．,",A63C9/08@A,"
特開昭63-194681,            特願昭63-017472,1988/01/29,1988/08/11,アルペン・スキー用の締具に組み込まれる制動装置　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,サロモン　エス．エー．,",A63C7/00,"
特開昭63-185035,            特願昭62-016259,1987/01/28,1988/07/30,半導体装置,沖電気工業株式会社,",H01L21/60,311@R,"
実全昭63-117306,            実願昭62-008754,1987/01/26,1988/07/29,スキ－靴保護カバ－,生野　正              他,",A43C13/06,"
特開昭63-160683,            特願昭62-317308,1987/12/15,1988/07/04,スキーのセフティビンディング用トウユニット　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,マーカー　ドイッチェランド　ゲゼルシャフトミット　ベシュレンクテル　ハフツング,",A63C9/085,"
